Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
-4425084019010806195,0,1,116,560,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6565874793578557529,0,2,149,738,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2322032647450292936,0,1,92,67,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
7099423830200108573,0,1,132,679,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7422935966320490247,0,1,46,175,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-34927427755671437,0,2,215,1111,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6342625498771790562,0,7,296,1257,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1375881306239243099,0,1,24,254,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3551446693308998116,0,1,161,731,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6264572582368059323,0,1,117,515,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3186574842647593700,0,1,19,9,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8862600336675523706,0,2,427,1145,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5992851494710569841,0,2,170,951,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6296607392506484709,0,2,134,840,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5141607354425458064,0,1,66,447,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1128482052829510934,0,1,22,253,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1685707937351719609,0,1,20,207,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5283521373555850333,0,1,61,531,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6899708695210169370,0,1,113,552,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8995075615916093196,0,1,75,489,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4359452298881273646,0,3,308,1190,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6222947962660929714,0,1,46,10,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2606310671355854720,0,1,18,68,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-5046174550131056457,0,2,295,1134,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3446989676620626496,0,1,17,134,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4117754850187369682,0,1,120,520,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-9038311372328227006,0,2,154,928,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8246445036080839017,0,2,102,607,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-853216487916964218,0,1,73,562,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6889041563394608055,0,1,105,720,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7601132514906434074,0,1,18,136,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
894190014421370595,0,1,56,16,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8199279461267258151,0,1,17,197,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-914204148353642657,0,3,280,1065,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3064826668651854475,0,1,288,1010,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-595982969143113181,0,4,365,1249,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6257274437146442187,0,1,29,126,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4458289991270919375,0,1,94,10,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8112956160284302332,0,1,18,7,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4709814253257693645,0,2,402,999,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8733387581529348186,0,1,71,301,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2231736410569927267,0,1,207,48,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8999698025554182157,0,1,16,117,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
937957093666730662,0,1,125,605,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6352390025952270903,0,1,137,756,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7422284639113190404,0,1,127,625,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-874185776494252741,0,1,16,180,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
