Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,4,4,VULKAN,0.5,1.633,1.617,25.87,8,1,same,ca_detail_1762512270723
2000,4,5,VULKAN,1.819,1.55,1.93,43.42,6,1,same,ca_detail_1762512270723
2000,4,6,WÜSTE,1.819,2.0,1.93,27.22,28,1,same,ca_detail_1762512270723
2000,4,7,SUMPF,1.344,2.0,1.222,176.7,83,1,same,ca_detail_1762512270723
2000,4,8,GRASLAND,0.903,2.0,0.897,200.0,238,1,same,ca_detail_1762512270723
2000,4,9,GRASLAND,1.098,1.825,0.897,178.84,20,1,same,ca_detail_1762512270723
2000,4,10,OZEAN,1.486,2.0,0.897,200.0,165,1,same,ca_detail_1762512270723
2000,4,11,GRASLAND,0.733,2.0,1.481,200.0,721,1,same,ca_detail_1762512270723
2000,4,12,GEBIRGE,0.523,2.0,1.481,200.0,607,1,same,ca_detail_1762512270723
2000,4,13,WÜSTE,1.854,2.0,0.897,73.76,8,1,same,ca_detail_1762512270723
2000,4,14,OZEAN,1.408,2.0,0.798,200.0,953,1,same,ca_detail_1762512270723
2000,4,15,GEBIRGE,0.733,2.0,1.481,200.0,825,1,same,ca_detail_1762512270723
2000,4,16,GEBIRGE,0.5,2.0,2.0,88.56,106,1,same,ca_detail_1762512270723
2000,4,17,TUNDRA,0.582,2.0,2.0,99.58,5,1,same,ca_detail_1762512270723
2000,4,18,SUMPF,0.5,2.0,1.402,200.0,261,1,same,ca_detail_1762512270723
2000,4,19,OZEAN,0.838,1.786,1.597,200.0,903,1,same,ca_detail_1762512270723
2000,4,20,GEBIRGE,0.5,2.0,2.0,167.4,184,1,same,ca_detail_1762512270723
2000,4,21,TUNDRA,0.5,1.712,2.0,41.19,20,1,same,ca_detail_1762512270723
2000,4,22,GRASLAND,0.618,0.992,1.338,200.0,167,1,same,ca_detail_1762512270723
2000,4,23,WÜSTE,0.5,1.11,1.14,63.45,4,1,same,ca_detail_1762512270723
2000,4,24,GEBIRGE,0.543,2.0,1.17,65.36,110,1,same,ca_detail_1762512270723
2000,4,25,GRASLAND,0.543,1.698,1.715,176.24,91,1,same,ca_detail_1762512270723
2000,4,26,VULKAN,0.543,1.698,1.715,81.72,2,1,same,ca_detail_1762512270723
2000,4,27,VULKAN,0.554,1.956,2.0,67.27,212,1,same,ca_detail_1762512270723
2000,4,28,SUMPF,0.709,1.564,2.0,200.0,552,1,same,ca_detail_1762512270723
2000,4,29,SUMPF,0.715,2.0,1.157,200.0,176,1,same,ca_detail_1762512270723
2000,4,30,TUNDRA,0.715,2.0,1.55,91.91,31,1,same,ca_detail_1762512270723
2000,4,31,SUMPF,0.5,2.0,2.0,200.0,128,1,same,ca_detail_1762512270723
2000,4,32,VULKAN,0.865,2.0,0.972,139.8,359,1,same,ca_detail_1762512270723
2000,4,33,GEBIRGE,1.016,2.0,0.972,200.0,368,1,same,ca_detail_1762512270723
2000,4,34,OZEAN,0.789,1.974,0.59,200.0,1940,1,same,ca_detail_1762512270723
2000,4,35,WALD,1.245,2.0,0.643,200.0,1657,1,same,ca_detail_1762512270723
2000,4,36,WÜSTE,1.294,1.864,1.086,27.27,12,1,same,ca_detail_1762512270723
2000,4,37,GRASLAND,1.223,1.864,1.086,159.27,27,1,same,ca_detail_1762512270723
2000,4,38,VULKAN,1.223,2.0,0.807,74.2,3,1,same,ca_detail_1762512270723
2000,4,39,SUMPF,1.944,2.0,0.638,200.0,433,1,same,ca_detail_1762512270723
2000,4,40,TUNDRA,0.757,2.0,0.5,90.83,7,1,same,ca_detail_1762512270723
2000,4,41,OZEAN,0.757,2.0,0.5,199.95,66,1,same,ca_detail_1762512270723
2000,4,42,GEBIRGE,0.938,2.0,0.706,200.0,264,1,same,ca_detail_1762512270723
2000,4,43,TUNDRA,1.361,2.0,0.64,165.49,303,1,same,ca_detail_1762512270723
2000,4,44,WÜSTE,1.831,1.973,1.696,63.78,13,1,same,ca_detail_1762512270723
2000,4,45,VULKAN,2.0,1.973,1.696,53.53,6,1,same,ca_detail_1762512270723
2000,4,46,OZEAN,0.79,1.896,1.664,200.0,777,1,same,ca_detail_1762512270723
2000,4,47,VULKAN,0.677,2.0,2.0,39.8,7,1,same,ca_detail_1762512270723
2000,4,48,SUMPF,0.677,2.0,1.818,200.0,151,1,same,ca_detail_1762512270723
2000,4,49,WALD,0.5,1.76,0.8,200.0,749,1,same,ca_detail_1762512270723
2000,5,0,GEBIRGE,0.559,2.0,0.8,200.0,922,1,same,ca_detail_1762512270723
2000,5,1,SUMPF,1.194,2.0,2.0,129.46,61,1,same,ca_detail_1762512270723
2000,5,2,TUNDRA,1.194,2.0,2.0,57.48,90,1,same,ca_detail_1762512270723
2000,5,3,WALD,0.5,1.633,1.611,200.0,30,1,same,ca_detail_1762512270723
2000,5,4,WÜSTE,0.5,1.633,1.611,26.93,10,1,same,ca_detail_1762512270723
2000,5,5,WALD,0.5,1.633,2.0,172.08,14,1,same,ca_detail_1762512270723
2000,5,6,SUMPF,1.324,2.0,1.634,200.0,386,1,same,ca_detail_1762512270723
2000,5,7,VULKAN,1.344,2.0,1.142,74.2,3,1,same,ca_detail_1762512270723
2000,5,8,OZEAN,0.547,1.948,1.387,200.0,761,1,same,ca_detail_1762512270723
2000,5,9,VULKAN,1.098,2.0,0.897,19.4,210,1,same,ca_detail_1762512270723
2000,5,10,WÜSTE,1.221,1.825,0.897,19.4,12,1,same,ca_detail_1762512270723
2000,5,11,GEBIRGE,1.854,2.0,0.897,200.0,161,1,same,ca_detail_1762512270723
2000,5,12,OZEAN,1.854,2.0,0.897,186.19,119,1,same,ca_detail_1762512270723
2000,5,13,GRASLAND,1.854,2.0,0.897,200.0,70,1,same,ca_detail_1762512270723
2000,5,14,SUMPF,1.607,2.0,0.897,200.0,45,1,same,ca_detail_1762512270723
2000,5,15,GEBIRGE,1.408,2.0,0.798,200.0,923,1,same,ca_detail_1762512270723
2000,5,16,GEBIRGE,2.0,2.0,2.0,200.0,517,1,same,ca_detail_1762512270723
2000,5,17,OZEAN,0.5,2.0,2.0,116.9,63,1,same,ca_detail_1762512270723
2000,5,18,OZEAN,0.5,2.0,2.0,85.51,9,1,same,ca_detail_1762512270723
2000,5,19,OZEAN,0.5,2.0,2.0,200.0,387,1,same,ca_detail_1762512270723
2000,5,20,TUNDRA,0.645,2.0,2.0,56.83,193,1,same,ca_detail_1762512270723
