Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
1.854,2.0,0.882,41.59,74,TUNDRA,same
0.733,1.575,1.303,188.16,1124,GEBIRGE,same
0.523,1.097,1.274,200.0,183,WALD,same
0.649,2.0,0.771,200.0,1553,GEBIRGE,same
0.523,1.212,1.274,196.34,299,OZEAN,same
2.0,2.0,1.268,200.0,399,SUMPF,same
0.5,1.998,2.0,141.48,417,WÜSTE,same
0.601,1.786,1.798,129.26,909,GEBIRGE,same
2.0,2.0,2.0,148.16,754,TUNDRA,same
2.0,2.0,1.303,200.0,172,OZEAN,same
2.0,1.313,1.303,154.98,77,GRASLAND,same
2.0,1.313,1.303,10.46,9,VULKAN,same
0.956,1.437,1.423,3.33,10,VULKAN,same
0.956,2.0,1.423,100.0,0,WÜSTE,same
0.716,2.0,0.7,200.0,649,OZEAN,same
0.543,1.811,1.715,82.93,68,SUMPF,same
0.543,1.811,1.715,94.15,60,GEBIRGE,same
0.543,1.811,1.363,172.23,25,OZEAN,same
0.715,1.678,1.157,44.17,67,GEBIRGE,same
0.865,2.0,1.715,200.0,381,GRASLAND,same
0.715,2.0,1.157,100.0,0,WÜSTE,same
0.662,1.71,0.5,72.64,3,VULKAN,same
0.66,2.0,1.05,200.0,209,WALD,same
0.78,2.0,1.138,79.12,42,GEBIRGE,same
0.572,2.0,0.593,200.0,701,GEBIRGE,same
0.578,2.0,0.655,200.0,824,GEBIRGE,same
1.204,2.0,0.5,200.0,355,SUMPF,same
1.204,2.0,0.5,200.0,241,WALD,same
1.002,1.904,0.715,91.23,1,VULKAN,same
0.757,2.0,0.715,14.0,10,VULKAN,same
0.5,2.0,0.5,200.0,573,GRASLAND,same
0.757,2.0,0.555,200.0,102,GEBIRGE,same
0.717,2.0,1.067,200.0,351,SUMPF,same
0.938,1.261,0.561,105.55,165,OZEAN,same
0.741,1.85,2.0,54.95,43,TUNDRA,same
0.5,2.0,0.5,200.0,319,GEBIRGE,same
0.5,2.0,0.5,200.0,281,GEBIRGE,same
0.685,2.0,1.225,200.0,130,GRASLAND,same
0.677,2.0,1.818,200.0,237,GEBIRGE,same
0.513,2.0,1.372,179.81,296,TUNDRA,same
0.5,1.839,1.37,200.0,632,WALD,same
0.632,1.738,1.798,200.0,183,WALD,same
0.524,1.738,1.796,200.0,172,SUMPF,same
0.513,2.0,1.372,15.38,217,TUNDRA,same
1.194,2.0,1.655,122.61,94,SUMPF,same
1.639,2.0,1.655,200.0,18,SUMPF,same
0.996,2.0,1.691,11.99,540,TUNDRA,same
1.324,2.0,1.648,200.0,186,SUMPF,same
1.324,2.0,1.489,200.0,290,VULKAN,same
1.705,2.0,0.897,57.01,11,WÜSTE,same
0.996,2.0,1.691,198.65,732,TUNDRA,same
0.884,2.0,0.762,200.0,1458,GEBIRGE,same
0.523,1.097,1.274,47.47,5,VULKAN,same
2.0,2.0,2.0,200.0,693,OZEAN,same
2.0,2.0,2.0,200.0,495,GRASLAND,same
2.0,2.0,2.0,200.0,683,GEBIRGE,same
0.759,2.0,1.158,200.0,1598,WALD,same
2.0,2.0,2.0,200.0,875,WALD,same
2.0,2.0,1.303,200.0,209,GRASLAND,same
1.636,1.632,2.0,200.0,334,SUMPF,same
0.709,2.0,2.0,1.89,354,TUNDRA,same
0.707,2.0,2.0,200.0,212,GEBIRGE,same
0.956,2.0,1.423,100.57,13,OZEAN,same
2.0,2.0,2.0,113.02,415,TUNDRA,same
2.0,2.0,2.0,200.0,404,SUMPF,same
0.543,1.811,1.715,32.42,10,WÜSTE,same
0.543,1.468,1.715,200.0,239,GRASLAND,same
0.5,2.0,1.363,25.6,12,WÜSTE,same
0.5,1.846,1.275,200.0,520,OZEAN,same
0.662,1.788,0.5,146.07,90,WALD,same
0.782,1.788,0.5,200.0,84,SUMPF,same
0.78,2.0,1.044,97.01,4,TUNDRA,same
0.782,1.904,0.604,93.52,1,WÜSTE,same
1.128,2.0,0.5,135.59,191,TUNDRA,same
1.204,2.0,0.5,200.0,310,SUMPF,same
0.547,2.0,1.138,41.71,26,TUNDRA,same
1.204,2.0,0.5,200.0,270,GEBIRGE,same
0.757,2.0,0.894,200.0,88,WALD,same
0.576,2.0,0.711,200.0,579,GEBIRGE,same
0.576,2.0,0.711,200.0,728,GRASLAND,same
0.576,2.0,0.711,200.0,853,GEBIRGE,same
0.571,2.0,0.555,197.12,91,SUMPF,same
0.748,2.0,0.555,62.8,6,WÜSTE,same
0.741,2.0,2.0,200.0,139,SUMPF,same
0.5,2.0,0.649,200.0,265,WALD,same
0.685,2.0,1.586,19.4,13,WÜSTE,same
0.685,2.0,1.225,200.0,75,SUMPF,same
0.559,1.839,1.072,200.0,802,OZEAN,same
0.677,2.0,1.818,68.05,256,TUNDRA,same
