Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,31,18,OZEAN,1.243,1.23,1.49,114.17,40,1,population,ca_detail_1762513195633-pop625
800,16,30,OZEAN,0.862,1.895,1.93,186.7,54,1,steps,ca_detail_1762512767599
2000,44,8,TUNDRA,2.0,1.625,2.0,97.54,1,1,seed,ca_detail_1762512624538
2000,23,18,GRASLAND,2.0,2.0,1.553,200.0,183,1,same,ca_detail_1762512270723
2000,37,4,WALD,1.509,2.0,0.793,200.0,840,1,same,ca_detail_1762512346105
2000,49,15,VULKAN,1.495,2.0,0.86,14.0,10,1,population,ca_detail_1762513249309-pop1250
2000,17,7,TUNDRA,0.971,2.0,1.449,26.53,238,1,population,ca_detail_1762513304195-pop2500
1200,22,41,GEBIRGE,2.0,2.0,1.113,95.86,9,1,steps,ca_detail_1762512788880
2000,3,49,WÜSTE,1.831,2.0,1.696,186.84,170,1,same,ca_detail_1762512270723
2000,7,36,GEBIRGE,0.649,1.805,0.722,200.0,781,1,steps,ca_detail_1762512849242
2000,22,26,SUMPF,1.182,2.0,1.153,200.0,311,1,same,ca_detail_1762512270723
2000,1,28,TUNDRA,0.92,2.0,0.87,90.51,10,1,population,ca_detail_1762513249309-pop1250
2000,18,0,WÜSTE,0.578,1.503,1.308,53.66,6,1,same,ca_detail_1762512346105
2000,15,30,SUMPF,0.642,2.0,1.729,200.0,1147,1,population,ca_detail_1762512974066-pop1
2000,18,33,TUNDRA,0.5,2.0,1.338,38.39,16,1,population,ca_detail_1762512974066-pop1
2000,44,12,GRASLAND,1.423,2.0,0.745,200.0,650,1,seed,ca_detail_1762512598970
2000,33,37,WALD,0.5,2.0,2.0,200.0,175,1,seed,ca_detail_1762512446573
2000,33,39,VULKAN,2.0,1.895,1.206,91.47,1,1,population,ca_detail_1762512974066-pop1
2000,44,20,WALD,0.5,1.248,0.733,200.0,259,1,same,ca_detail_1762512398038
800,37,45,GRASLAND,1.749,1.969,0.625,150.0,73,1,steps,ca_detail_1762512767599
2000,13,15,VULKAN,2.0,2.0,1.311,21.15,10,1,same,ca_detail_1762512346105
2000,8,19,GEBIRGE,1.344,1.935,1.006,200.0,1129,1,seed,ca_detail_1762512598970
1600,14,46,VULKAN,2.0,1.244,0.968,83.01,121,1,steps,ca_detail_1762512804294
1600,39,27,TUNDRA,2.0,2.0,0.504,94.5,5,1,steps,ca_detail_1762512804294
2000,33,33,VULKAN,0.697,2.0,1.243,65.6,4,1,population,ca_detail_1762513195633-pop625
2000,32,24,TUNDRA,0.5,1.265,1.266,52.13,8,1,same,ca_detail_1762512398038
2000,41,35,VULKAN,2.0,1.725,0.639,45.47,6,1,same,ca_detail_1762512370832
2000,32,15,WÜSTE,0.763,1.842,1.269,20.03,12,1,same,ca_detail_1762512398038
2000,3,25,VULKAN,0.982,2.0,1.538,14.0,10,1,same,ca_detail_1762512346105
2000,43,25,OZEAN,1.5,1.871,0.648,52.91,114,1,steps,ca_detail_1762512849242
800,4,21,TUNDRA,0.674,2.0,0.885,39.54,77,1,steps,ca_detail_1762512767599
2000,34,45,GRASLAND,1.429,1.997,0.592,200.0,66,1,same,ca_detail_1762512270723
2000,33,24,VULKAN,2.0,2.0,1.803,39.48,8,1,population,ca_detail_1762512974066-pop1
1200,12,0,TUNDRA,0.5,2.0,1.805,45.39,54,1,steps,ca_detail_1762512788880
2000,25,31,WALD,1.457,1.631,2.0,198.54,99,1,population,ca_detail_1762513304195-pop2500
2000,47,11,OZEAN,1.295,2.0,2.0,200.0,443,1,same,ca_detail_1762512370832
2000,17,10,SUMPF,0.591,1.992,1.462,200.0,22,1,seed,ca_detail_1762512570763
2000,37,45,GRASLAND,1.803,2.0,1.226,132.4,2,1,population,ca_detail_1762513304195-pop2500
2000,10,34,WÜSTE,0.749,2.0,2.0,9.97,15,1,same,ca_detail_1762512346105
2000,35,44,SUMPF,1.273,2.0,0.581,200.0,599,1,seed,ca_detail_1762512446573
2000,23,48,TUNDRA,1.046,1.479,1.376,87.67,3,1,population,ca_detail_1762513195633-pop625
2000,36,9,GRASLAND,1.888,1.81,0.535,192.82,110,1,same,ca_detail_1762512370832
2000,3,3,WALD,0.776,1.234,0.5,156.64,126,1,population,ca_detail_1762513195633-pop625
2000,5,48,GEBIRGE,0.573,2.0,1.13,115.6,151,1,population,ca_detail_1762512974066-pop1
800,45,10,VULKAN,1.086,1.52,1.074,27.06,8,1,steps,ca_detail_1762512767599
2000,19,49,TUNDRA,2.0,2.0,2.0,82.3,44,1,population,ca_detail_1762513195633-pop625
400,16,12,GEBIRGE,0.696,1.938,1.04,84.41,69,1,steps,ca_detail_1762512748570
2000,3,7,OZEAN,1.703,2.0,0.763,180.83,28,1,seed,ca_detail_1762512598970
400,4,48,SUMPF,0.724,1.444,1.17,118.01,5,1,steps,ca_detail_1762512748570
2000,48,16,GRASLAND,0.5,2.0,1.118,200.0,740,1,seed,ca_detail_1762512483895
2000,15,1,WÜSTE,0.634,1.398,0.749,91.93,1,1,population,ca_detail_1762512974066-pop1
2000,6,27,WALD,1.755,1.964,1.939,200.0,451,1,population,ca_detail_1762512974066-pop1
2000,18,17,SUMPF,2.0,1.136,1.32,200.0,201,1,seed,ca_detail_1762512570763
2000,49,0,TUNDRA,2.0,1.809,0.885,34.59,33,1,seed,ca_detail_1762512570763
2000,17,0,TUNDRA,0.715,2.0,1.188,80.75,33,1,seed,ca_detail_1762512446573
2000,4,26,VULKAN,0.904,2.0,0.639,14.6,13,1,same,ca_detail_1762512370832
2000,2,46,TUNDRA,1.231,2.0,1.078,93.23,10,1,population,ca_detail_1762513304195-pop2500
2000,12,49,GRASLAND,0.559,2.0,0.881,200.0,333,1,seed,ca_detail_1762512598970
2000,7,19,VULKAN,1.903,2.0,2.0,22.86,10,1,seed,ca_detail_1762512570763
2000,0,35,WÜSTE,2.0,2.0,2.0,87.25,7,1,population,ca_detail_1762513249309-pop1250
2000,5,12,OZEAN,1.854,2.0,0.897,186.19,119,1,same,ca_detail_1762512270723
2000,5,43,GRASLAND,0.599,2.0,2.0,200.0,81,1,population,ca_detail_1762513065927-pop50
